date,regularite,trains_programmes,trains_circules,trains_annules,trains_retard
2023-12,79.70723583021602,2179,2133,46,411
2024-01,83.18753641250501,2429,2399,30,372
2024-02,81.97781403743848,2220,2188,32,337
2024-03,84.79178251493138,2280,2265,15,274
2024-04,85.46106760142709,2530,2501,29,373
2024-05,80.24841307579742,2196,2181,15,329
2024-06,80.27691388487222,2432,2410,22,333
2024-07,84.06771947567718,2702,2673,29,457
2024-08,86.5941628702149,2741,2726,15,402
2024-09,85.65066266450756,2575,2560,15,345
2024-10,82.00621991976735,2567,2528,39,400
2024-11,79.9161837459484,2148,2124,24,421
2024-12,86.98896292526528,2482,2470,12,346
2025-01,86.10917993128554,2416,2379,37,364
2025-02,82.40294601307562,2177,2169,8,307
2025-03,86.9362792352951,2496,2483,13,312
2025-04,86.70694097003029,2437,2427,10,349
2025-05,85.19521108533452,2264,2251,13,342
2025-06,79.68527757258946,2455,2391,64,524
2025-07,84.7224115543082,2693,2658,35,436
