date,regularite,trains_programmes,trains_circules,trains_annules,trains_retard
2020-01,89.38008410025523,152113.0,147581.0,4532.0,13047.0
2020-02,91.56545454545454,203851.0,197399.0,6452.0,16515.0
2020-03,92.07272727272726,129489.0,126075.0,3414.0,9611.0
2020-04,94.78181818181817,35184.0,35045.0,139.0,1463.0
2020-05,93.22930331271482,85640.0,84329.0,1311.0,5057.0
2020-06,93.10549791552847,152440.0,150799.0,1641.0,10068.0
2020-07,92.50299638281669,185067.0,181894.0,3173.0,13242.0
2020-08,93.07363636363635,196181.0,192667.0,3514.0,13394.0
2020-09,93.11661029296839,215109.0,211336.0,3773.0,14533.0
2020-10,90.5909090909091,211665.0,206558.0,5107.0,18503.0
2020-11,92.2309090909091,166732.0,164351.0,2381.0,12181.0
2020-12,93.07363636363635,179368.0,176098.0,3270.0,11418.0
2021-01,93.03363636363636,187304.0,182946.0,4358.0,12844.0
2021-02,93.18181818181819,185442.0,181478.0,3964.0,12013.0
2021-03,94.39636363636363,196457.0,192141.0,4316.0,10974.0
2021-04,94.55272727272727,158088.0,155532.0,2556.0,8411.0
2021-05,93.8309090909091,185598.0,181917.0,3681.0,11669.0
2021-06,92.6990909090909,200096.0,194980.0,5116.0,14386.0
2021-07,93.03545454545454,187369.0,183113.0,4256.0,12713.0
2021-08,94.55218767237214,190062.0,186721.0,3341.0,10291.0
2021-09,93.29522943357233,210246.0,205480.0,4766.0,13784.0
2021-10,91.07150397086883,209558.0,203084.0,6474.0,17785.0
2021-11,90.48926807350098,202571.0,197173.0,5398.0,18217.0
2021-12,92.08623998037976,208219.0,202199.0,6020.0,15914.0
2022-01,93.37272727272726,203431.0,199696.0,4960.0,12913.0
2022-02,93.65546176801503,189416.0,184327.0,5089.0,11581.0
2022-03,93.44616272431263,221206.0,216145.0,5061.0,14388.0
2022-04,93.51458040777169,204143.0,199455.0,4688.0,13045.0
2022-05,93.0901509677863,217962.0,213921.0,4041.0,14640.0
2022-06,91.54363636363637,216461.0,212086.0,5722.0,18083.0
2022-07,89.9499349650393,195311.0,189448.0,5863.0,18314.0
2022-08,92.03007332440583,204536.0,200070.0,4466.0,15435.0
2022-09,92.50839716604531,214659.0,209830.0,4829.0,15926.0
2022-10,91.05257285967603,206119.0,201039.0,5080.0,17987.0
2022-11,90.62464383115268,202715.0,197533.0,5182.0,18953.0
2022-12,89.7342768125725,204226.0,196830.0,7396.0,20407.0
2023-01,91.93434768231421,210616.0,205136.0,5480.0,16541.0
2023-02,91.7936104177973,187183.0,182333.0,4850.0,15145.0
2023-03,91.68424115770365,139711.0,135894.0,3817.0,11299.0
2023-04,91.84210759677984,190382.0,186016.0,4366.0,15090.0
2023-05,91.78918331076308,212485.0,207684.0,4801.0,17198.0
2023-06,90.6464189446452,220713.0,214881.0,5832.0,20049.0
2023-07,91.54533422827872,200432.0,195663.0,4769.0,16423.0
2023-08,91.62626799402511,202018.0,197530.0,4488.0,16418.0
2023-09,91.58358945992582,214697.0,210348.0,4349.0,17531.0
2023-10,89.89720206835938,219961.0,214482.0,5479.0,21689.0
2023-11,85.11601787806306,207600.0,199570.0,8030.0,28733.0
2023-12,90.4324580850455,212569.0,207170.0,5399.0,19706.0
2024-01,91.46109852057474,226881.0,220377.0,6504.0,18944.0
2024-02,92.30575624331323,213174.0,208247.0,4927.0,15929.0
2024-03,92.07248833469151,222716.0,217887.0,4829.0,17882.0
2024-04,92.05509905978037,220097.0,215482.0,4615.0,17330.0
2024-05,92.46406188441436,217432.0,213134.0,4298.0,16265.0
2024-06,92.21424519299883,218795.0,213864.0,4931.0,17080.0
2024-07,92.10913902193155,217855.0,213580.0,4275.0,16613.0
2024-08,93.03235090510684,208817.0,204998.0,3819.0,14064.0
2024-09,91.83636363636364,222866.0,218284.0,4582.0,17520.0
2024-10,90.29545454545455,229060.0,224535.0,6504.0,21735.0
2024-11,88.80818181818182,209286.0,204579.0,6169.0,22119.0
2024-12,91.17,212183.0,208714.0,5042.0,17955.0
2025-01,90.55714285714285,234618.0,230062.0,6611.0,20154.0
2025-02,92.00428571428571,210889.0,207784.0,4562.0,15770.0
2025-03,92.71714285714286,229273.0,226356.0,4648.0,15710.0
2025-04,92.10214285714287,221616.0,218698.0,4433.0,17786.0
2025-05,92.25071428571428,219187.0,216276.0,4449.0,16782.0
2025-06,89.57857142857142,224385.0,219304.0,7093.0,23312.0
2025-07,91.0942857142857,220646.0,216688.0,5785.0,19251.0
2025-08,92.50642857142857,212512.0,209704.0,4038.0,16399.0
